q_num,q_type,prompt,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_a
1,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.",Which one of the following CANNOT be the band that performs in slot five?,Uneasy,Vegemite,Welspring,Xpert,Zircon,choice_b
2,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.","If Zircon performs in an earlier slot than Yardsign, which one of the following is the earlist slot in which Wellspring could perform?",two,three,four,five,six,choice_c
3,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.","If Vegemite performs in slot three, which one of the following must be true?",Uneasy performs in an earlier slot than Xpert.,Wellspring performs in an earlier slot than Zircon.,Xpert performs in an earlier slot than Uneasy.,Yardsign performs in an earlier slot than Wellspring.,Zircon performs in an earlier slot than Uneasy.,choice_b
4,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.","If Zircon performs immediately before Wellspring, which one of the following must be true?",Uneasy performs in slot five.,Vegemite performs in slot one.,Xpert performs in slot five.,Yardsign performs in slot two.,Zircon performs in slot three.,choice_e
5,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.",Which one of the following is a complete and accurate list of bands any one of which could be the band that performs in slot one?,Yardsign,"Vegemite, Wellspring","Vegemite, Yardsign","Vegemite, Wellspring, Yardsign","Vegemite, Wellspring, Yardsign, Zircon",choice_d
6,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.","If Wellspring performs immediately before Xpert, which one of the following could be true?",Uneasy performs in slot five.,Vegemite performs in slot three.,Wellspring performs in slot three.,Zircon performs in slot two.,Zircon performs in slot four.,choice_d
7,LP,"A concert promoter is filling the six slots at a benefit concert. The slots, from earliest to latest, are numbered slot one through slot six. The slots will be filled by six bands -- Uneasy, Vegemite, Wellspring, Xpert, Yardsign, and Zircon. Each band will perform in just one slot. The order must meet the following constraints: Vegemite performs in an earlier slot than Zircon. Wellspring and Zircon each perform in an earlier slot than Xpert. Uneasy performs in one of the last three slots. Yardsign performs in one of the first three slots.","Which of the following, if substituted for the constraint that Wellspring and Zircon each perform in an earlier slot than Xpert, would have the same efect in determining the order in which the bands perform?",Only Uneasy can perform in a later slot than Xpert.,"Vegemite performs in an earlier slot than Wellspring, which performs in an earlier slot htan Zircon.",Vegemite and Wellspring each perform in an earlier slot than Xpert.,Xpert performs either immediately before or immediately after Uneasy.,Xpert performs in either slot five or slot six.,choice_a
8,LP,"A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega or Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.",Which of the following is a possible selection of employees for the team?,"Myers, Paine, Schmidt, and Thomson","Ortega, Paine, Thomson, and Zayre","Paine, Schmidt, Yoder, and Zayre","Schmidt, Thomson, Yoder, and Zayre","Thomson, Wong, Yoder, and Zayre",choice_b
9,LP,"A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega or Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.",Which one of the following is a pair of employees who CANNOT be on the team together?,Myers and Thomson,Ortega and Yoder,Paine and Zayre,Schmidt and Wong,Wong and Yoder,choice_d
10,LP,"A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega or Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.","If Yoder is not on the team, then any of the following could be on the team EXCEPT:",Zayre,Thomson,Paine,Ortega,Myers,choice_e
